A1,A2Atlantida,A3,A4Equipo,A5,A6Canelones,A7,A8Equipo,A9,A10Santa Lucia,A11,A12Equipo,A13,A14San Jose de Carrasco / Shangrila,A15,A16Equipo,A17,A18Toledo,A19,A20Equipo,A21,A22Pando,A23,A24Equipo,A25,A26Las Piedras,A27,A28Equipo,A29,A30,A31Backofice San Jose de Carrasco/Lagomar 2,A32,A33Equipo,A34,A35La Paz,A36,A37Equipo,A38,A39Salinas,A40,A41Equipo,A42,A43Sala Lumiere,A44,A45Equipo,A46,A47San Ramon,A48,A49Equipo,A50,A51Tala,A52,A53Equipo,A54,A55Migues,A56,A57Equipo,A58,A59Progreso,A60,A61Equipo,A62,A63Parque del Plata,A64,A65Equipo,A66,A67La Floresta,A68,A69Equipo,A70,A71Soca,A72,A73Equipo,A74,A75Los Titanes,A76,A77Equipo,A78,A79San Luis,A80,A81Equipo,A82,A83Cuchilla Alta,A84,A85Equipo,A86,A87Santa Teresita,A88,A89Equipo,A90,A91Empalme Olmos,A92,A93Equipo,A94,A95San Jacinto,A96,A97Equipo,A98,A99Solymar,A100,A101Equipo,A102,A103Joanico,A104,A105Equipo,A106,A107Los Cerrillos,A108,A109Equipo,A110,A111Santa Rosa,A112,A113Equipo,A114,A115Sauce,A116,A117Equipo,A118<,A119Centro Civico (Shopping Costa Urbana),A120,A121Equipo,A122,A123Tienda Shopping Costa Urbana,A124,A125Equipo,A126,A127Central Salinas,A128,A129Equipo,A130,A131El Pinar,A132,A133Equipo,A134,A135San Jacinto,A136,A137Equipo,A138,A139Datacenter Pando,A140,A141Equipo,A142,A143San Bautista,A144,A145Equipo,A146,A147Shopping Las Piedras,A148,A149Equipo,A150,A151Barros Blancos,A152,A153Equipo
,,167,,,,167,Provisorias Notebook,,,167,,,,167,,,,167,,,,167,,,,167,,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,,,,167,
,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,,,,168,
,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,,,,169,
,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,,,,170,
,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,,,,171,
,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,,,,172,
,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,,,,173,
,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,,,,174,
,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,,,,175,
,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,,,,176,
,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,,,,177,
,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,,,,178,
,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,,,,179,
,,180,Ocupada,A2104019,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,,,,180,
,,181,,,,181,Expand,Caso 3939473,,181,,,,181,,,,181,,,,181,A1161327,,,181,,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,,,,181,
,,182,,,,182,Expand,3939473,,182,,,,182,,,,182,,,,182,,,,182,,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,,,,182,
,,183,,,,183,Expand,3939473,,183,,,,183,,,,183,,,,183,,,,183,,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,,,,183,
,,184,,,,184,Expand,3939473,,184,,,,184,,,,184,,,,184,,,,184,,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,,,,184,
,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,,,,185,
,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,,,,186,
,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,,,,187,
,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,,,,188,
,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,ocupada,A4190674,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,,,,189,
,,190,,,,190,,,,190,,,,190,,,,190,AA150078,,,190,,,,190,Ocupada,,,,190,A5250029,,,190,ocupada,,,190,AE150073,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,A3950080,,,190,A2D50076,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,A5950081,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,AF150067,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,,,,190,
,,191,,,,191,,,,191,,,,191,,,,191,,,,191,A1190432,,,191,ocupada,A4190673,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,,,,191,
,,192,,,,192,,,,192,,,,192,,,,192,,,,192,A1190429,,,192,ocupada,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,,,,192,
,,193,Ocupada,A2190891,,193,A0190153,,,193,,,,193,ocupada,,,193,,,,193,A1190259,,,193,ocupada,A4190631,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,Ocupada,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,AF190893,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,,,,193,
,,194,,,,194,Ocupada,A0190061,,194,,,,194,,,,194,,,,194,A1190260,,,194,ocupada,A4190632,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,,,,194,
,,195,Ocupada,A2190166,,195,A0190167,,,195,,,,195,A3190170,,,195,,,,195,A1190012,,,195,Ocupada,A4190169,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,,,,195,
,,196,,,,196,A0190178,,,196,,,,196,,,,196,,,,196,A1190013,,,196,Ocupada,A4190363,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,,,,196,
,,197,,,,197,A0190430,,,197,,,,197,,,,197,,,,197,A1190014,,,197,Ocupada,A4190533,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,,,,197,
,,198,,,,198,A0190431,,,198,,,,198,,,,198,,,,198,A1107580,,,198,Ocupada,A4190535,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,,,,198,
,,199,,,,199,A0190897,,,199,,,,199,,,,199,,,,199,A1190419,,,199,Ocupada,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,,,,199,
,,200,,,,200,A0101644,,,200,,,,200,,,,200,,,,200,U0B90590,,,200,ocupada,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,,,,200,
,,201,Ocupada,A2100323,,201,A0102057,,,201,AD104885,,,201,A3104289,,,201,AA104024,,,201,A1160000,,,201,Ocupada,A4101985,,,201,Ocupada,,,201,A9101134,,,201,AE101056,,,201,Ocupada,A1904782,,201,,,,201,A6104827,,,201,AB105342,,,201,A6905243,,,201,A3905289,,,201,A2905290,,,201,AB905291,,,201,AD905293,,,201,AE905294,,,201,A9905295,,,201,A7905413,,,201,A5905386,,,201,,,,201,liberada,,,201,AC105339,,,201,AC905341,,,201,A8105343,,,201,A4905392,,,201,AF105645,,,201,,,,201,AE107207,Liberada,,201,,,,201,A3C05390,,,201,A8408252,,,201,,,,201,AAD09191,,,201,
,,202,ocupada,A2106478,,202,ocupada,A0106122,,202,AD105340,,,202,Liberada,,,202,AA105391,,,202,A1106030,,,202,Ocupada,A4101974,,,202,A5201086,,,202,A9104439,,,202,AE105296,,,202,,,,202,A7105344,,,202,A6105345,,,202,,,,202,A6908458,,,202,A3906806,,,202,A2905933,,,202,,,,202,AD905294,,,202,AE906767,,,202,ocupada,A9906765,,202,A7906278,,,202,A5907353,,,202,,,,202,,,,202,,,,202,AC905788,,,202,A8105605,,,202,A4905896,,,202,AF105646,,,202,,,,202,Liberada,,,202,A3408022,,,202,A3C08153,,,202,A8408253,,,202,,,,202,AAD09196,,,202,
,,203,Ocupada,A2104018,,203,A0160027,,,203,ocupada,,,203,Liberada,,,203,AA106740,,,203,A1101874,,,203,Ocupada,A4101982,,,203,Ocupada,,,203,A9103152,,,203,AE103014,,,203,,,,203,A7108051,,,203,,,,203,,,,203,A6908476,,,203,A3906768,,,203,A2D07849,,,203,,,,203,AD906767,,,203,AE908482,,,203,,,,203,A7906279,,,203,A5907355,,,203,,,,203,,,,203,,,,203,,,,203,A8104821,,,203,A4907282,,,203,AF107036,,,203,,,,203,AE407422,,,203,A3408301,,,203,A3C08344,,,203,A8408254,,,203,,,,203,AAD09195,,,203,
,,204,Ocupada,A2100314,,204,A0103690,,,204,AD107300,,,204,A3105056,,,204,AA108300,,,204,A1101891,,,204,Ocupada,A4102555,,,204,Liberada,,,204,A9105244,,,204,AE106445,,,204,,,,204,A7108293,,,204,,,,204,,,,204,,,,204,A3908455,,,204,A2D08609,,,204,,,,204,,,,204,,,,204,,,,204,,,,204,A5907362,,,204,,,,204,,,,204,,,,204,,,,204,,,,204,A4908345,,,204,AF107999,,,204,,,,204,AE407988,,,204,,,,204,Provisorio,,,204,A8408255,,,204,,,,204,AAD09194,,,204,
,,205,Ocupada,A2104777,,205,A0160070,,,205,,,,205,Liberada,,,205,,,,205,,,,205,Ocupada,A4102556,,,205,Liberada,,,205,A9106300,,,205,AE106446,,,205,,,,205,A7108407,,,205,,,,205,,,,205,,,,205,A3907225,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,,,,205,AF105649,,,205,,,,205,Libre,,,205,,,,205,,,,205,A8408256,,,205,,,,205,AAD09193 ,,,205,
,,206,Ocupada,A2104855,,206,LIBERADA,,,206,,,,206,A3104795,,,206,,,,206,A1103689,,,206,Ocupada,A4102882,,,206,A5204795,,,206,A9106620,,,206,AE106857,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,A3908673,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,,,,206,AF108534,(Tienda),,206,,,,206,AE408781,,,206,,,,206,,,,206,A8408257,,,206,,,,206,AAD09192 ,,,206,
,,207,Ocupada,A2105054,,207,A0104826,,,207,,,,207,A3107330,,,207,,,,207,,,,207,Ocupada,A4104818,,,207,Liberada,,,207,A9104854,,,207,AE106734,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,,,,207,AF108535,(Tienda),,207,,,,207,,,,207,,,,207,,,,207,A8408258,,,207,,,,207,AAD09217,,,207,
,,208,Ocupada,A2105237,,208,A0104875,,,208,,,,208,A5207467,,,208,,,,208,A1103872,,,208,Ocupada,,,,208,A5205410,,,208,A9107457,,,208,AE107648,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,,,,208,AF105652,,,208,,,,208,,,,208,,,,208,,,,208,A8408259,,,208,,,,208,,,,208,
,,209,Ocupada,A2105287,,209,A0105049,,,209,,,,209,A5207468,,,209,,,,209,A1104097,,,209,Ocupada,A4105050,,,209,Liberada,,,209,A9102694,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,,,,209,AF105653,,,209,,,,209,,,,209,,,,209,,,,209,A8408260,,,209,,,,209,,,,209,
,,210,Ocupada,A2105288,,210,A0105337,,,210,,,,210,A3104468,,,210,,,,210,A1104026,,,210,Ocupada,A4105113,,,210,Liberada,,,210,A9108197,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,,,,210,AF105654,,,210,,,,210,,,,210,,,,210,,,,210,A8408261,,,210,,,,210,,,,210,
,,211,Ocupada,A2105840,,211,A0105338,,,211,,,,211,Liberada,,,211,,,,211,A1102218,,,211,ocupada,A4105241,,,211,Liberada,,,211,A9108343,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,,,,211,Libre,,,211,,,,211,,,,211,,,,211,,,,211,A8408419,,,211,,,,211,,,,211,
,,212,ocupada,A2103695,,212,ocupada,A0106723,,212,,,,212,A3108002,,,212,,,,212,,,,212,Ocupada,A4105242,,,212,Liberada,,,212,A9105665,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,,,,212,AF105817,,,212,,,,212,,,,212,,,,212,,,,212,A8408420,,,212,,,,212,,,,212,
,,213,ocupada,A2107165,,213,A0106724,,,213,,,,213,A3101085,,,213,,,,213,A1105251,,,213,ocupada,A4106056,,,213,A5204486,,,213,A9108938,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,,,,213,AF108131,,,213,,,,213,,,,213,,,,213,,,,213,A8408421,,,213,,,,213,,,,213,
,,214,Ocupada,A2106280,,214,ocupada,A0106745,,214,,,,214,A3108308,,,214,,,,214,A1105393,,,214,ocupada,A4106057,,,214,A5205714,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,,,,214,AF108326,,,214,,,,214,,,,214,,,,214,,,,214,libre,,,214,,,,214,,,,214,
,,215,ocupada,A2107217,,215,A0104686,,,215,,,,215,,,,215,,,,215,A1105394,,,215,Ocupada,A4106096,,,215,Liberada,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,,,,215,A8408423,,,215,,,,215,,,,215,
,,216,ocupada,,,216,A0107402,,,216,,,,216,,,,216,,,,216,A1106031,,,216,ocupada,A4106097,,,216,A5207507,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,,,,216,A8408424,,,216,,,,216,,,,216,
,,217,Ocupada,A2106769,,217,A0108055,,,217,,,,217,,,,217,,,,217,A1106070,,,217,ocupada,A4106098,,,217,Liberada,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,,,,217,A8408425,,,217,,,,217,,,,217,
,,218,Ocupada,A2106818,,218,A0108195,,,218,,,,218,,,,218,,,,218,,,,218,ocupada,A4106123,,,218,A5208307,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,,,,218,A8408426,,,218,,,,218,,,,218,
,,219,ocupada,A2107582,,219,A0108214,,,219,,,,219,,,,219,,,,219,A1106526,,,219,ocupada,,,,219,A5280541,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,,,,219,A8408427,,,219,,,,219,,,,219,
,,220,ocupada,A2106944,,220,A0104138,,,220,,,,220,,,,220,,,,220,A1106700,,,220,A4106433,,,,220,Liberada,,,220,A9102683,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,,,,220,libre,,,220,,,,220,,,,220,
,,221,ocupada,A2106945,,221,A0108418,,,221,,,,221,,,,221,,,,221,A1106701,,,221,A4107696,,,,221,A5205171,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,AF100102,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,,,,221,
,,222,ocupada,A2106946,,222,A0102029,,,222,,,,222,,,,222,,,,222,A1190168,,,222,A4100910,,,,222,A5208309,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,AF101035,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,,,,222,
,,223,ocupada,A2107050,,223,,,,223,,,,223,,,,223,,,,223,A1107016,,,223,A4106474,,,,223,A5208385,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,AF101036,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,,,,223,
,,224,ocupada,A2107051,,224,,,,224,,,,224,,,,224,,,,224,Liberada,,,224,A4106512,,,,224,A5208388,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,AF101037,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,,,,224,
,,225,ocupada,A2107052,,225,,,,225,,,,225,,,,225,,,,225,A1107688,,,225,A4106025,,,,225,A5208389,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,AF105411,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,,,,225,
,,226,ocupada,A2107053,,226,,,,226,,,,226,,,,226,,,,226,A1103106,,,226,A4106434,,,,226,A5208399,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,AF107044,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,,,,226,
